dataset,folder,image_path,mask_iou,hsv_processing_ms,lab_processing_ms,hsv_area_ratio,hsv_border_contact_ratio,hsv_centre_coverage,hsv_solidity,hsv_proxy_score,hsv_proxy_valid,lab_area_ratio,lab_border_contact_ratio,lab_centre_coverage,lab_solidity,lab_proxy_score,lab_proxy_valid,hsv_mean_hue_drift,hsv_mean_saturation_drift,hsv_lightness_contrast,hsv_contrast_gain,hsv_clipped_lightness_ratio,lab_mean_hue_drift,lab_mean_saturation_drift,lab_lightness_contrast,lab_contrast_gain,lab_clipped_lightness_ratio
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\b_f256.png,0.996533064871327,2.26979999570176,3.0083000019658357,0.4665795347744361,0.1094017094017094,0.7650140977443609,0.8087756966534532,0.8132205548544943,1.0,0.46536654135338346,0.10897435897435898,0.7615718984962406,0.8079056509948068,0.8132368483842848,1.0,0.00847959690497705,0.2916324013157895,90.32918305679159,-0.46891472882479945,0.4691758693609023,0.3813424931331422,7.784257518796992,90.13762460226054,-0.6604731833558475,0.4676544877819549
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\b_f319.png,0.9944047937806421,2.7762000099755824,3.507199988234788,0.38114794481981984,0.0,0.645481418918919,0.7736926518077402,0.8640133947145373,1.0,0.3790153434684685,0.0,0.6421171171171172,0.7715553151203679,0.8642701769675625,1.0,0.010279210385914991,0.25556024774774777,37.31949081204842,5.463867812752689,0.3508516328828829,0.2826782856126623,4.899472128378378,38.71822141683966,6.8625984175439285,0.35948057432432434
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\b_f383.png,0.9970855505525993,1.7540999979246408,2.509400015696883,0.2152785633484163,0.0,0.46994650900900903,0.6924512805196744,0.8242170437654652,1.0,0.21590073529411766,0.0,0.47035472972972975,0.6938516712092957,0.8256675669525109,1.0,0.007882149156959652,0.13672935520361992,89.02207010431022,-0.03278715372367458,0.724498020361991,0.22364009089897818,1.959166430995475,88.70571410001862,-0.3491431580152664,0.7199201074660634
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\b_f447.png,0.996919854617138,3.173399978550151,3.4559999767225236,0.3336671128500824,0.11325301204819277,0.26410860655737706,0.7520336237467712,0.7749151930487815,1.0,0.33387819192751234,0.11365461847389559,0.2636372950819672,0.7524383197044249,0.7748014683388045,1.0,0.018246014166977347,0.22948414332784184,94.47199972640568,-0.10890527189644672,0.6051714373970346,0.26293705271314427,3.5643276359143328,93.96836713785031,-0.6125378604518232,0.6032356878088962
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\b_f510.png,0.9978326557086583,1.7788999830372632,2.350099995965138,0.2779489436619718,0.0,0.527304469273743,0.6223861871191301,0.8299381312785746,1.0,0.27788292253521124,0.0,0.5270425977653631,0.6220881615099749,0.8298261518550676,1.0,0.022237594938533153,0.22578345070422534,28.494385417728488,3.7586715981421754,0.5209286971830986,0.21237407583553114,2.4347843309859156,29.687309293271046,4.951595473684733,0.5190536971830986
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\rotated_by_30_Screen Shot 2018-06-12 at 9.50.44 PM.png,0.9958137312852736,2.868799987481907,3.9037999813444912,0.38504553393213575,0.031167690956979806,0.7822833665338645,0.8757506597246987,0.9015131791011086,1.0,0.3836701596806387,0.031167690956979806,0.7798057768924302,0.8735710970690086,0.9014569868017273,1.0,0.018851318963688225,0.24906125249501,90.11148594260987,0.016491499532875764,0.571684755489022,0.30455999182769,3.6971057884231535,89.65711350192122,-0.43788094115578247,0.5686065369261477
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\rotated_by_60_Screen Shot 2018-06-12 at 10.02.19 PM.png,0.9955863040034659,2.0932000188622624,3.1054000137373805,0.43575106534090907,0.033876500857632934,0.8768347537878788,0.8177917364600782,0.8758873130727866,1.0,0.43662109375,0.033876500857632934,0.8762547348484848,0.8159212969655187,0.874843566943847,1.0,0.019677256812103517,0.31369554924242427,90.32241158919271,0.7841673660949198,0.46853397253787876,0.44056770759312136,8.298449337121212,90.11079464606983,0.5725504229720428,0.46415423768939396
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\rotated_by_75_Screen Shot 2018-06-12 at 9.49.45 PM.png,0.9977125952132242,3.6619000020436943,4.196199995931238,0.3815642458100559,0.05787234042553192,0.727532527881041,0.7390123765045029,0.8587545575279629,1.0,0.380790270018622,0.05702127659574468,0.7261965613382899,0.7387989698633876,0.8591499788977308,1.0,0.004360637289741768,0.29572858472998137,86.73349893950815,-0.5250675910227045,0.5892632681564246,0.27842928216062546,3.9236324487895717,85.83193306124384,-1.4266334692870117,0.5848725558659218
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\Screen Shot 2018-06-12 at 9.38.10 PM.png,0.9932054762699807,2.977299998747185,4.188399994745851,0.22850398936170213,0.0,0.28433527542372883,0.5099590088620365,0.758858856857153,1.0,0.2279122340425532,0.0,0.2825873940677966,0.5085567512842626,0.7582288290704118,1.0,0.013286996511673482,0.135688164893617,22.954283009298795,3.4493183923250292,0.7174268617021277,0.28220169582315363,2.7515724734042553,26.693895806087305,7.188931189113539,0.7151761968085106
primary,freshbanana,C:\Users\Kai\Documents\Image Processing\assgm\dataset\Test\freshbanana\translation_Screen Shot 2018-06-12 at 9.54.43 PM.png,0.9953635062519819,2.4271000002045184,3.6426000006031245,0.4227414443155452,0.08746492048643592,0.6034130184331797,0.7451782526894689,0.8015620140839375,1.0,0.4213167053364269,0.08512628624883069,0.5998415898617512,0.7430964739804407,0.8019226832648682,1.0,0.014356072513884523,0.2900630800464037,79.32528962969246,0.2754081799389354,0.48522694315545245,0.3589018128471131,5.922908207656612,79.35264274383752,0.302761294083993,0.4848789153132251
